,Annual Return,Annual Vol,Raw t-stat,Sharp Ratio,Annual Alpha vs. CAPM,Alpha t-stat vs. CAPM,IR vs. CAPM,Start Date,End Date
SMB,1.9,9.8,1.21,0.19,-0.3,-0.24,-0.04,01/30/1936,12/30/1975
Decile 1-10,7.1,25.2,1.78,0.28,2.5,0.66,0.11,01/30/1936,12/30/1975
