,Annual Return,Annual Vol,Raw t-stat,Sharp Ratio,Annual Alpha vs. CAPM,Alpha t-stat vs. CAPM,IR vs. CAPM,Start Date,End Date
SMB,2.2,10.2,1.36,0.22,0.6,0.66,0.06,07/30/1926,12/30/2020
Decile 1-10,5.7,25.3,1.42,0.22,1.7,0.71,0.07,07/30/1926,12/30/2020
