,Annual Return,Annual Vol,Raw t-stat,Sharp Ratio,Annual Alpha vs. CAPM,Alpha t-stat vs. CAPM,IR vs. CAPM,Start Date,End Date
BAB,8.0,11.2,6.9,0.71,8.7,7.5,0.78,12/31/1930,06/31/2024
HML,4.1,12.4,3.27,0.33,2.8,2.32,0.24,07/31/1926,06/31/2024
MOM,7.5,16.3,4.58,0.46,10.0,6.42,0.66,01/31/1927,06/31/2024
RMW,3.5,7.7,3.52,0.45,4.1,4.2,0.54,07/31/1963,06/31/2024
SMB,1.9,10.1,1.19,0.19,0.1,0.09,0.01,07/30/1926,06/30/2024
