,Annual Return,Annual Vol,Raw t-stat,Sharp Ratio,Annual Alpha vs. CAPM,Alpha t-stat vs. CAPM,IR vs. CAPM,Start Date,End Date
SMB,1.9,10.1,1.19,0.19,0.1,0.09,0.01,07/30/1626,06/30/2024
Decile 1-10,5.0,25.1,1.25,0.2,1.2,0.49,0.05,07/30/1626,06/30/2024
